ð ə; the
d͡ʒ ˌ i ə m ˌ ɔ ɹ f ˈ ɑ l ə d͡ʒ i; geomorphology
n ˈ ɛ f; neff
s ˈ ɛ l f ɹ ɪ d͡ʒ; selfridge
k ˌ oʊ ə l ˈ ɛ s; coalesce
ɝ ˈ ɑ t ɪ s ˌ ɪ z ə m; eroticism
m ə k ˈ ɔ; macaw mccaw
ɹ ˈ æ k ɪ ŋ; racking wracking
w ˈ i k ə n z; weakens
s ˈ ɔ d ˌ ʌ s t; sawdust
w ˈ ɛ b ɝ z; webber's webers
g l ˈ æ n v ˌ ɪ l; glanville
w ˈ ɛ d ə l; weddell weddle wedel wedell
s ˌ aɪ k ə p æ θ ˈ ɔ l ə g ˌ i; psychopathology
d ɪ v ˈ aɪ d ɝ; divider
k ɹ ɪ s ˈ æ n θ ə m ə m; chrysanthemum
ɛ n d j ˈ ʊ ɹ z; endures
m ˈ oʊ t i; moti
h ˈ ɪ s t ə d ˌ i n; histidine
m ˈ ɑ ɹ g ɝ ˌ i t; margarete
h ˈ oʊ n ɪ ŋ; honing
ˈ æ n ˌ i z; annie's
ˈ i t ə n z; eaton's
s m ˈ ɑ l i; smalley
f ˈ ɪ k ʃ ə n z; fictions
ˈ ɛ ɹ ɪ n t; arendt
m ˌ æ s k ɝ ˈ eɪ d ɪ ŋ; masquerading
t͡ʃ ˈ ɪ l z; chills
s ə n ˈ ɑ t ɹ ə z; sinatra's
t ˌ æ t ˈ u ɪ ŋ; tattooing
l ˈ ɪ ŋ k ɝ; linker
d ɪ f ˈ ɛ k t ɪ ŋ; defecting
m ˈ eɪ b ˌ ɛ ɹ i; mayberry maybury
b ˈ ɪ l ɪ ŋ z l i; billingslea billingsley billingsly
s ˈ ɪ ŋ g ə l h ˈ æ n d ɪ d; single-handed
k ˈ æ v ə l k ˌ eɪ d; cavalcade
ˈ ɪ n ɪ s; ines iniss inness innis inniss
n ˈ ɛ s t l ɪ ŋ z; nestlings
l i ˈ oʊ n z; leones
n ˈ i m ˌ ɔɪ; nimoy
θ ˈ aɪ m; thyme
s t ˈ i g l ɪ t s; stieglitz
k ˌ æ b ɹ i oʊ l ˈ eɪ; cabriolet
s w ˈ ɪ n d ə l; swindall swindell swindle
b ˈ ɑ ɹ i l ˈ i f s; bas-reliefs
ə d ˈ i n ə; edina
oʊ n ˈ æ s ɪ s; onassis onassis'
ɹ ˈ ɛ l ə t ɪ v ˌ ɪ z ə m; relativism
s t ˈ oʊ l ɝ; stohler stolar stoler stoller
t ˈ u t s; toots
v ˈ ɝ n i; verney
ˌ oʊ ʃ ˈ ɑ n ɪ s i; o'shaughnessy
k ˈ æ n s ə l z; cancels
j ˈ u l i; uli yuli
ɹ ˈ æ ʃ ə n ə l i; rationally
ə n s ˈ i t; unseat
m j u n ˈ ɪ ʃ ə n; munition
l ˈ ɛ ɹ ɝ; lehrer
k w ɑ d ɹ ˈ u p ə l d; quadrupled
v ˈ ɪ ʃ ə s l i; viciously
n ˈ i d ə l w ˌ ɝ k; needlework
p l ˈ ɪ m p t ə n; plimpton plympton
ə b s t ˈ ɛ n t͡ʃ ə n z; abstentions
l ˈ æ n d m ˌ aɪ n z; landmines
t ˈ u n ɪ k ə; tunica
ˈ ɛ m b ɝ; ember
t ˈ aɪ ɹ ə l; tyrell
h ˈ ɑ b ɝ m ˌ ɑ s; habermas
m ɔ ɹ ˈ i t ə; maurita morita
s k ˈ ɛ d͡ʒ ʊ l ɝ; scheduler
m ˈ ɪ k ə l; mickel mickle mikel mikell
k ə n s ˈ aɪ n m ə n t; consignment
p ˈ ɪ k ɝ; picker
g ˈ æ l ɪ g oʊ z; gallegos
ˌ ɪ n s ˈ ɪ n ɝ ˌ eɪ t ɝ; incinerator
ʃ ˈ ɑ ɹ p ʃ u t ɝ z; sharpshooters
h ˈ ɝ b s t; herbst
ɹ ˈ ɛ p s; rep's reps
f ˈ ɪ t ɝ; fitter
d͡ʒ ˈ u s t; joost
b ˈ æ ŋ g ə l z; bangles
ɹ ˈ ɔɪ l; roil royle
k l ˈ oʊ v z; cloves
k ˈ ɑ n t æ k t l ˌ ɛ s; contactless
v ˈ ɛ n t ɹ ˌ ɪ k ə l z; ventricles
v ˈ ɛ ɹ i ə n s ɪ z; variances
n ˈ aɪ t l ˌ aɪ n; nightline
ə n t͡ʃ ˈ eɪ n d͡ʒ ɪ ŋ; unchanging
d͡ʒ ˈ ɔɪ n t ə d; jointed
l u t͡ʃ ˈ ɛ ɹ oʊ; lucero
t ˈ ɑ m b ˌ ɔɪ; tomboy
ˌ ɔ t ə b aɪ ˈ ɑ g ɹ ə f i z; autobiographies
b ɹ ˈ æ n t͡ʃ l ə t s; branchlets
g ɹ ˈ ʌ f; gruff
ə p ɹ ˈ i ʃ i ˌ eɪ t ɪ ŋ; appreciating
b ˈ aʊ t ə n; boughton bouton
s ˈ ɛ t oʊ; seto
w ˈ aɪ t n ə s; whiteness
h ˈ ɛ n ʃ ˌ ɔ; henshaw
b ɹ ˈ oʊ f i; brophy
ə p ˌ ɑ l ə d͡ʒ ˈ ɛ t ɪ k; apologetic
l ˈ ʊ k ə p; lookup
t oʊ j ˈ oʊ t ə z; toyota's
h ˈ æ l s i ə n; halcion halcyon
s ˈ ɝ ə g ə s i; surrogacy
h ˈ æ n d i k ˌ æ p s; handicaps
h ˈ ʌ n i s ˌ ʌ k ə l; honeysuckle
n ə f ˈ ɛ ɹ i ə s; nefarious
f ˈ æ ð ə m; fathom
s ˈ i ˈ ɛ s v ˈ i; csv
ˌ ɪ m p ɹ ˈ ɛ ʃ ə n ɪ s t s; impressionists
f ˈ aɪ n ə l ˌ aɪ z; finalize
s ˈ ɔ d i z; saudis saudis'
f ˈ ɪ n t͡ʃ ɝ; fincher
s v oʊ b ˈ oʊ d ə; svoboda
k l ˈ æ p ɪ ŋ; clapping
n ɑ n p ɹ ɔ l ˌ ɪ f ɝ ˈ eɪ ʃ ə n; non-proliferation
b ˈ æ k d ɹ ˌ ɑ p s; backdrops
b ˈ æ p t ə s t ɹ i; baptistery
s t ˈ ɑ k h ˌ oʊ l d ɝ; stockholder
k ˌ ɑ n ə s t ˈ oʊ g ə; conestoga
ˌ ʌ n ɪ n t ˈ ɛ l ə d͡ʒ ə b ə l; unintelligible
b ˈ oʊ l ə n; bohlen bolan bolen bolon bowlen
t ɝ ˈ eɪ n z; terrains
f ˌ ɪ l ə s ˈ ɑ f ɪ k; philosophic
l ˈ eɪ d l ˌ ɔ; laidlaw
ɹ ˈ oʊ z l ə n d; roseland
w ˈ ɔ h ɹ ˌ ɔ l z; warhol's
l ˈ i d ə; leda lida
ˈ ɑ g ɑ ɹ w ɑ l; agarwal
h ˈ ɑ ɹ n ə s ɪ ŋ; harnessing
ˌ ɪ n t ˈ ɛ ɹ ə g ˌ eɪ t ɝ z; interrogators
b ˈ oʊ l ʃ ə v ˌ ɪ z ə m; bolshevism
s t ɹ ˈ aʊ s ɪ z; strauss's
n ˌ ɛ g ə t ˈ ɪ v ə t i; negativity
m aɪ k ɹ ˈ ɑ m ə t ɝ z; micrometers
p ˈ eɪ n s t ˌ eɪ k ɪ ŋ; painstaking
ə n ˈ u b ɪ s; anubis
ˌ ɪ n d ˈ i s ə n s i; indecency
ə n m ˈ æ s k; unmask
p ˈ æ m p ə z; pampas
oʊ d w ˈ aɪ ɹ; o'dwyer
b ˈ oʊ g ˌ ɔ ɹ; bogor
k ɹ ˈ u l i; cruelly
k l ˈ æ m p s; clamps
t ɹ æ n z g ɹ ˈ ɛ ʃ ə n z; transgressions
d ɪ f ˈ ɔ l t s; defaults
d͡ʒ ˈ ɪ g; jig
s ˈ ɪ θ; scythe
ˈ ɑ n d͡ʒ ə; anja
θ ɹ ˈ æ ʃ t; thrashed
h ˈ ɑ ɹ g ɹ ˌ eɪ v; hargrave
ə b ˈ ɛ d; abed
ə m ˈ i g ˌ oʊ; amigo
h ˈ aɪ p ɝ t ɹ ˌ oʊ f i; hypertrophy
p ˈ ɪ l ɪ d͡ʒ; pillage
ˈ æ l k ˌ ɑ t; alcott
w ˈ ɔ l ə; wala
ʃ ˈ ɛ l v ɪ ŋ; shelving
f ˈ ʌ s; fuhs fuss
l ˈ ɔ m ˌ eɪ k ɝ; lawmaker
ə b s t ˈ ɛ t ɹ ɪ k; obstetric
p ɹ ˈ ɑ k s ə m ə t; proximate
v æ l j u ˈ eɪ ʃ ə n z; valuations
ˌ ɔ z m ˈ oʊ s ɪ s; osmosis
s ˌ i ˈ ɑ n; sian
ɹ ˈ u b; rube rueb
m ˈ aɪ t ɹ ə l; mitral
ˌ ɪ n t ɝ f ˈ ɛ ɹ ɑ n; interferon
ɹ i p ɹ ˈ ɪ n t ɪ ŋ; reprinting
ˌ ɪ n f ɹ ˈ æ k ʃ ə n; infraction
s ɝ p ˈ æ s ɪ z; surpasses
f ˌ ɪ l ə s ˈ ɑ f ɪ k ə l i; philosophically
l ˈ aɪ t ʃ ˌ ɪ p; lightship
b ˈ ɛ n s ə n z; benson's
k ɑ s t ɛ l ˈ ɑ n oʊ; castellano
p ɹ i ˈ ɛ m p t ɪ d; preempted
s n ˈ oʊ f l ˌ eɪ k; snowflake
ɹ ɪ f ˈ ʌ n d z; refunds
v ˈ ɝ n ɝ; verner vernor
s ˈ eɪ n s b ɛ ɹ i; sainsbury
p ˌ ɛ ɹ ə p l ˈ ɛ g ɪ k; paraplegic
m ˈ ɛ m b ɹ ə n ə s; membranous
d͡ʒ ˌ æ m ʃ ˈ ɛ d p ɝ; jamshedpur
w ˈ ɑ n ə m ˌ eɪ k ɝ; wanamaker wannamaker
s ˈ ɪ m p ə θ ˌ aɪ z d; sympathized
ɹ i d ɪ f ˈ aɪ n ɪ ŋ; redefining
n ˌ ɑ n ˌ æ l k ə h ˈ ɑ l ɪ k; non-alcoholic nonalcoholic
ə l t ˈ ɪ ɹ i ɝ; ulterior
d ɪ s k ˈ ɝ ɪ d͡ʒ ɪ z; discourages
ʃ l ˈ eɪ g ə l; schlegel
l ˌ aɪ s ˈ æ n d ɝ; lysander
k ɹ ˈ ɑ ŋ k ˌ aɪ t; cronkite
k l ˈ ɛ z m ɝ; klezmer
ɛ n t͡ʃ ˈ æ n t ɪ ŋ; enchanting
s t ˈ ɛ p ə n w ˌ ʊ l f; steppenwolf
ˈ ɛ l ɝ; ehler eller
b ˈ u l ɪ t; bullitt
k ˌ ɔ ɹ i ˈ æ n d ɝ; coriander
s ˈ aʊ l; soule
m ˈ ɔ s b i; mosby
ə l ˈ i t oʊ; alito
m ə g ɹ ˈ u d ɝ; magruder mcgruder
m ˈ oʊ t ə v ˌ eɪ t s; motivates
m ˈ ɛ l ə n ə n; melanin
z ˈ æ p; zap zapp
b ˈ æ ŋ ɪ ŋ; banging
t ˈ ʌ b z; tubbs tubs
b ɹ ˈ ʌ n t ə n; brunton
ˌ æ d v ɝ s ˈ ɛ ɹ i ə l; adversarial
ɝ k ˈ oʊ l i; ercole
θ ɹ ˈ ʌ ʃ ə z; thrushes
ˈ ɑ ɹ m b ˌ æ n d; armband
b ˈ i v ɝ t ə n; beaverton
h ˈ ɑ ɹ g ɹ ˌ oʊ v; hargrove
s t ˈ ɛ ɹ ə l ˌ aɪ z d; sterilized
h ˈ æ m b ɝ g ɝ z; hamburgers
k ˈ æ t ə l ɔ g d; cataloged
m ˈ i k s; meeks
ˈ æ l b ɝ t v ˌ ɪ l; albertville
s ˈ eɪ k oʊ; saco seiko
f ˈ eɪ n t ɪ d; fainted
l ˈ ɪ b ˌ i ə z; libya's
b ɹ ˈ ɛ θ l ə s; breathless
f ˈ ɑ ɹ k ə s; farkas
ɑ d l ˈ ɑ i; adlai
k ˈ ɑ ɹ ə l; carle karle
b aɪ ˈ ɔ s aɪ ˌ ɛ n s ɪ z; biosciences
ə n d ɪ f ɝ ˈ ɛ n ʃ i ˌ eɪ t ɪ d; undifferentiated
ə n s ˈ ɛ l; ancel ansel unsell
m ˈ ɑ ɹ ʃ m ˌ ɛ l oʊ; marshmallow
k w ˌ ɑ n t ɪ t ˈ eɪ t ə v l i; quantitatively
d ˈ ɪ s k ˌ aʊ n t ɪ ŋ; discounting
p ˈ ɑ ɹ k ə; parka
ˈ ʌ ð ɝ w ˈ ɝ l d l i; otherworldly
ˌ ɪ l ˈ oʊ n ə; ilona
k ˈ ɑ t j ə; katja katya
ə n s p ˈ oʊ k ə n; unspoken
l ˌ ɪ t ɝ ˈ ɑ t i; literati
ˈ aɪ s b ɹ ˌ eɪ k ɝ z; icebreakers
k l ɝ ˈ i s; clarice
w ˈ ɔ ɹ d ə l; wardle
k ɹ ˈ æ n f ɝ d; cranford
p ˈ eɪ ʃ ə n t l i; patiently
b ˈ ʌ m p i; bumpy
g ɑ l ˈ i n d oʊ; galindo
k ˈ aʊ n t ɝ p ɹ ə d ˌ ʌ k t ɪ v; counterproductive
ˈ æ t͡ʃ ə s ə n; acheson
ɹ ˈ ɛ d h ˌ ɛ d; redhead
ˌ ɪ n s t ˈ ɔ l z; installs
d͡ʒ ˈ æ ɹ ə; jarrod
t͡ʃ ˈ i v ɝ; cheever
t ˌ ɑ n ə w ˈ ɑ n d ə; tonawanda
s t ˈ oʊ n ə m; stoneham
ˈ aʊ t l aɪ ɝ z; outliers
t ɝ b ˈ ɪ d ə t i; turbidity
m ˈ ɪ k ə v ɪ t͡ʃ; mickiewicz
l ˈ u ə; lua
w ˈ ɛ n t s; wentz
n ˌ æ s ɪ m ˈ ɛ n t oʊ; nascimento
w ˈ ɛ s t l aɪ f; westlife
d ɪ p l ˈ ɔɪ z; deploys
z ˈ i b ɹ ə z; zebras
n ə s ˈ ɛ s ə t ˌ eɪ t; necessitate
s ˈ ɛ l ɪ b ə t; celibate
ˌ i d͡ʒ ə p t ˈ ɑ l ə d͡ʒ i; egyptology
ˈ i s ˌ ɑ p; aesop
h ˈ ɑ l i z; hollies holly's
d ˈ i ə f ˌ aɪ d; deified
ʃ ˈ ɛ ɹ w ˌ ɛ ɹ; shareware
ˈ æ l k ˌ i n z; alkenes
ɹ ˌ i ə p ˈ ɔ ɹ ʃ ə n m ə n t; reapportionment
p ˈ ʌ m ə s; pumice
s t ˈ ɔ ɹ t ɪ ŋ; storting
ɑ z eɪ v ˈ eɪ d oʊ; azevedo
h ˈ æ n d b ˌ ʊ k s; handbooks
k ə b ˈ ɛ l oʊ; cabello
m ɑ t s ˈ u d ə; matsuda
m ˈ ʌ k; muck
ʃ ˈ ɪ p ˌ oʊ n ɝ; shipowner
f ˈ ɪ s ə l; fissel fissell fissile
ʃ ˈ æ g; shag
p ɹ ˌ ɑ p ə g ˈ æ n d ə s t; propagandist
k ˈ ɛ l ɝ m ə n; kellerman kellermann
m ˈ ɑ d ɝ n ɪ s t s; modernists
g ˈ ʊ d i; goodie goody
ɑ ɹ ˈ ɑ i; arai
k ə n t ˈ ɪ n d͡ʒ ə n s i z; contingencies
p ˈ ɑ l ˌ i g ɹ ˌ æ f; polygraph
ɹ i v ˈ aɪ t ə l ˌ aɪ z ɪ ŋ; revitalizing
f ˈ ɔ s t ə s; faustus
h ə m ˈ ɑ d͡ʒ ə n ə s; homogenous
s p l ˈ ɪ n t ɝ d; splintered
ˈ ɛ k s p ɝ t l i; expertly
d ˈ æ n b i; danby
ɪ n f l ˈ eɪ t; inflate
l ˈ ʌ v ɪ ŋ l i; lovingly
p ɹ ə f ˈ ɛ s ɪ ŋ; professing
p ˈ ɛ ɹ ɪ ʃ ə b ə l; perishable
ˈ ɛ n v i ə s; envious
b ˈ aɪ k ə n ˌ ɔ ɹ; baikonur
ɹ ˈ i t ˌ ɔ ɹ t; retort
n oʊ g ˈ u t͡ʃ i; noguchi
b ˈ ɛ t ə l; betel
ˈ æ l b ɝ t ˌ i n; albertine
k ˈ ɑ p i ɹ ˌ aɪ t ɝ; copywriter
p ɹ oʊ l ˈ ɪ f ɝ ˌ eɪ t; proliferate
w ˈ oʊ g ə n; wogan
h ˈ ɛ d w ˌ ɔ t ɝ; headwater
s ˈ ʌ n d ɹ i; sundry
ə n θ ˈ ɪ ŋ k ə b ə l; unthinkable
ˌ ɪ ɹ ə p l ˈ eɪ s ə b ə l; irreplaceable
s ˈ i p ɪ d͡ʒ; seepage
ˈ ɛ θ ɪ k ə l i; ethically
s ə m ˈ oʊ z ə; somoza
d͡ʒ ˈ oʊ l s ə n; joelson jolson
ɛ n t͡ʃ ˈ æ n t m ə n t; enchantment
b ˈ ʌ z ɪ ŋ; buzzing
p ɝ p ˈ ɛ t͡ʃ ə w ˌ eɪ t ɪ ŋ; perpetuating
h ˈ aɪ d ɹ ˌ eɪ t; hydrate
k l ˈ ɑ s; clos klaas
j u f ˈ i m i ə; euphemia
p ɹ ˈ ɑ s ə d i; prosody
ˈ ɔ ɹ f i u m; orpheum
ə f ˌ ɪ ʃ ə n ˈ ɑ d oʊ z; aficionados
ɹ ˈ eɪ p i ɝ; rapier
b ˈ ʊ l d ˌ oʊ z ɝ z; bulldozers
p ˈ ɛ ɹ ə l m ə n; perelman
g w ˈ ɑ n ˌ i n; guanine
ˌ aʊ j ˈ ɑ m ə; aoyama
b ˈ ɝ d͡ʒ; berge birge burdge
ə s t ɹ ˈ ɑ l ə d͡ʒ ɝ z; astrologers
f l ˈ u t ɪ s t; flutist
f ɪ t s ˈ ɪ m ə n z; fitzsimmons fitzsimons
s l ˈ æ m ɪ ŋ; slamming
v ˈ aɪ ə l eɪ t ɝ z; violators
ɹ ˈ i ə l t ɝ z; realtor's realtors
p ɪ k ˈ ɑ s oʊ z; picasso's
l ˈ aɪ m h ˌ aʊ s; limehouse
s ˈ ɝ d͡ʒ ɪ ŋ; surging
p ˌ i t s ɝ ˈ i ə; pizzeria
d ɹ ˈ ɔɪ d; droid
ɹ ˌ ɛ k t ə f ə k ˈ eɪ ʃ ə n; rectification
k ˈ ɔ l d ɝ ɑ n; calderon
g ˈ æ g d; gagged
ˌ ʌ n ɹ i l ˈ ɛ n t ɪ ŋ; unrelenting
ˈ ɔ ɹ b ɪ s; orbis
b ɹ ˈ u b ˌ ɛ k; brubeck
p ˌ ɝ f ɝ ˈ eɪ ʃ ə n; perforation
h ˈ oʊ z n i; hosni
ɪ k ˈ ɑ l ə d͡ʒ ɪ s t s; ecologists
k ˈ æ m p f; kampf
t ɹ ˈ ʌ ŋ k ˌ eɪ ʃ ə n; truncation
k ɝ ə l; kuril
ˌ ɑ s t i ˌ oʊ ɑ ɹ θ ɹ ˈ aɪ t ə s; osteoarthritis
m ˈ ɛ t ɹ ə; metra
w ˈ ɔ t k ɪ n; watkin
ˈ aʊ t k l ˌ æ s t; outclassed
t ɑ k ɑ j ˈ ɑ m ə; takayama
p ˈ æ s ɝ z b ˌ aɪ; passers-by
t ˈ ɑ l ɝ ə b ə l; tolerable
d ɪ s t ˈ eɪ b ə l ˌ aɪ z; destabilize
f ˈ ʌ ŋ k ʃ ə n ˌ ɛ ɹ i; functionary
ˈ ɑ b ɹ ə; abra
f l ˈ ɛ d͡ʒ d; fledged
f æ n d ˈ æ ŋ g ˌ oʊ; fandango
h ˈ ɪ ŋ ə m; hingham
z ˈ ʌ k ɝ b ˌ ɝ g; zuckerberg
d ˈ æ l i; dalley dally
s ɛ v ɝ ˈ i n oʊ; severino
ˈ æ n d ɝ t ə n; anderton
ɹ i s ˈ ɝ f ə s ɪ ŋ; resurfacing
ɹ ˈ oʊ d i ˌ oʊ z; rodeos
g ɹ ˈ i n h ˌ ɪ l; greenhill
w ˈ ɛ s t ɪ n; westin
ɛ n t ˈ aɪ t ə l m ə n t s; entitlements
d͡ʒ ə l ˈ æ l ə b æ d; jalalabad
n ˈ oʊ m z; gnomes nome's
f ˈ ɔ ɹ s b ɝ g; forsberg forsburg
d͡ʒ ˈ aɪ ɹ ˌ oʊ; gyro
g ˈ ʌ ʃ; gush
ɹ ˈ æ z; raz
f i ˈ æ n s i; fiancee
k ɹ ˈ ɑ p ɝ; cropper
s ˌ u m ɪ t ˈ oʊ m oʊ; sumitomo
k w ˈ ɛ s t ə; cuesta
t ˈ ɪ ɹ f ə l; tearful
ɹ ˈ i ə l t ˌ aɪ m; realtime
h ɑ d͡ʒ ˈ i m i; hajime
s l ˈ i p l ə s; sleepless
ˈ ɛ d s ə l; edsel
n ˈ æ θ ə n ˌ eɪ l; nathanael
d ə p ˈ aʊ; depauw
ə n ˈ ɪ n d͡ʒ ɝ d; uninjured
ˌ ɪ n ˈ ɪ ʃ i eɪ t ɝ z; initiators
ə b z ˈ ɑ l v d; absolved
h ˈ u v ɝ z; hoover's
k ɹ ˈ ɛ s w ˌ ɛ l; cresswell creswell
k w ˈ ɛ l d; quelled
s m ˈ ɑ ɹ t ə s t; smartest
b ɹ ˈ ɛ n t ə n; brenton
ˈ ɑ ɹ oʊ; aro
l ˈ ɛ g ɪ t; leget leggett leggitt
s ˈ ɑ ɹ s f i l d; sarsfield
ˈ ɪ ŋ m ɑ ɹ; ingmar
w ˈ ɑ ɹ ə n t ə n; warrenton
z ˈ ɛ s t; zest
ˈ æ m ə n ˌ aɪ t s; ammonites
b l ˈ ɑ k b ˌ ʌ s t ɝ z; blockbuster's blockbusters
ə z ˈ ɑ ɹ; azhar
ɑ ɹ t ˈ ɪ k j ə l ˌ eɪ t ɪ ŋ; articulating
ˌ ɪ n t ɝ p ɹ oʊ v ˈ ɪ n ʃ ə l; interprovincial
w ˈ ɔ s ɔ; wausau
z ˈ æ n; zahn zan
ɹ ˈ oʊ d i; rhody roadie roady rodi rody
b ˈ ɪ b; bib bibb
ɹ i ɪ n t ˌ ɝ p ɹ ə t ˈ eɪ ʃ ə n; reinterpretation
b ʊ ɹ ʒ ˈ ɛ t; bourget
b ɹ ˈ ɛ s l ɪ n; breslin
k j ˈ u t i; cutie
v ˈ ɛ l m ə; velma
b ˈ i v ə s; beavis
b ˈ ʌ s ə l; bussell bustle
s m ˈ æ k; smack
f ə n ˈ æ t ɪ k s; fanatics
ɝ ˈ eɪ d; arrayed
ɹ ˈ u t ə; ruta
t ɹ æ n s k ɹ ˈ aɪ b; transcribe
f ɹ ˈ i d l ə n d ɝ; friedlander
g ˈ æ s k ə l; gaskell
d ɪ k ˌ æ p ɪ t ˈ eɪ ʃ ə n; decapitation
m ˈ oʊ l z w ˌ ɝ θ; molesworth
g ɹ ˈ oʊ g ə n; grogan
ˈ i g ɝ n ə s; eagerness
k w ˈ aɪ n; quine
m ˈ ɛ ɹ ə g ˌ oʊ l d; marigold
s k ˈ ɑ ɹ v z; scarves
ə b ˈ eɪ t m ə n t; abatement
ə n ˈ eɪ d ɪ d; unaided
d ɹ ˌ æ m ə t ə z ˈ eɪ ʃ ə n; dramatization
g ˈ i k s; geeks
h ˈ oʊ l i f ˌ i l d; holyfield
s ˈ ʌ m ɝ f ˌ i l d; summerfield
s ˈ ɪ z ɝ; scissor
g ˈ ʌ l ɪ v ɝ; gulliver
s ˈ æ l m ə n d; salmond
t ɹ ˌ ʌ s t ˈ i ʃ ˌ ɪ p; trusteeship
t͡ʃ ˈ ɛ ɹ ə k ˌ i z; cherokee's cherokees
ɹ i ˈ ɑ ɹ m ə m ə n t; rearmament
ˈ i k w ə l ˌ aɪ z d; equalized
b ɹ u n ˈ ɛ t; brunet brunette
k ɹ ˈ æ m d; crammed
æ n h ˈ aɪ d ɹ ɪ d; anhydride
h ɝ m ˈ æ f ɹ ə d ˌ aɪ t; hermaphrodite
t ˌ ɛ s t ə m ˈ oʊ n i ə l z; testimonials
b ˈ ɑ ɹ m ə n; barman
ʃ ˈ ɪ m ɝ ɪ ŋ; shimmering
m ˈ ɛ n d ə n h ˌ ɔ l; mendenhall
b ˈ u m t ˌ aʊ n; boomtown
k ˈ ɔ ɹ n ɝ ɪ ŋ; cornering
s ˈ ɛ l s oʊ; celso
b ˈ ɝ θ ɪ ŋ; birthing
m ə k ˈ æ d ə m; macadam mcadam
g ˈ ɪ l m ɝ; gilmer
ə m ˈ eɪ z m ə n t; amazement
b ˈ eɪ l ɪ s; bayless baylis bayliss
æ k s ˈ i d; accede
f ˈ ɔ ɹ b ˌ ɛ ɹ z; forebears
ə d m ˈ ɑ n ɪ ʃ t; admonished
s ˈ eɪ d͡ʒ i; seiji
f ɹ ə n ˈ ɛ t ɪ k; frenetic
ɹ ˈ ɛ z ə n ˌ eɪ t ɪ d; resonated
d͡ʒ ˈ ɔ n d ə s; jaundice
s k ɹ ˈ u t ə n ˌ aɪ z d; scrutinized
h ˈ ɛ n d ɹ ɪ k s ə n; hendricksen hendrickson hendriksen hendrixson
ˌ ɪ n ə d v ˈ ɝ t ə n t; inadvertent
ˈ aɪ b ɛ k s; ibex
k ˈ ɝ b ɝ; kerber
d ɪ v ˈ aɪ n l i; divinely
d͡ʒ ˌ i ˌ ɛ n p ˈ i; gnp
p ɹ ɪ s ˈ ɪ p ɪ t ə s; precipitous
z ˌ ɛ n ə f ˈ ɑ b ɪ k; xenophobic
w ˈ ɪ l ɪ ŋ h ˌ æ m; willingham
k l aɪ t ˈ ɔ ɹ ɪ s; clitoris
k ˈ u p s; coupes koop's koops
m ˈ ɑ ɹ k ˌ i; markey
k ˈ i f; keef keefe keeffe kief
ˌ æ k s i ə m ˈ æ t ɪ k; axiomatic
s ˈ ɑ v; salve
ɹ u s ˈ ɛ l; roussel roussell
k ˈ æ t ə l ˌ ɔ g ɪ ŋ; cataloguing
ˈ ɛ n d oʊ; endo
m ˈ eɪ ə n ˌ eɪ z; mayonnaise
d ˈ ɛ d ə l ə s; daedalus
s ˈ aɪ k oʊ p ˌ æ θ; psychopath
ˌ ʌ n d ɪ s t ˈ ɪ ŋ g w ɪ ʃ t; undistinguished
ɪ k s t͡ʃ ˈ eɪ n d͡ʒ ɝ z; exchangers
m ˈ æ s t ɝ m ˌ aɪ n d ɪ d; masterminded
w ˈ ɪ ð ɝ d; withered
d ɪ n ˈ aɪ ə l z; denials
ˈ ɑ ɹ ɑ l; aral
s w ˈ ɪ t͡ʃ b ˌ ɔ ɹ d; switchboard
ˈ æ l aɪ ɪ ŋ; allying
ɹ ˈ i b ə s; rebus
s ˈ ɛ ɹ ɛ s; serres
ˌ i θ i ˈ oʊ p i ə z; ethiopia's
k l ˈ ɔ ɹ ə p l ˌ æ s t; chloroplast
h ˈ ɔ f m ə n z; hoffman's
w ˌ ɑ g ə d ˈ u g u; ouagadougou
l ə t ˈ ʊ ɹ; latour
ə l ˈ ɑ n; alon
f ˈ ɔ ɹ h ˌ æ n d; forehand
ɹ ˈ oʊ z ə n w ˌ ɔ l d; rosenwald
n ˈ u h ˌ ɔ l; newhall
m ˈ ɝ k j ɝ i z; mercury's
d aɪ v ˈ ɝ s ə f ˌ aɪ ɪ ŋ; diversifying
p ɝ s ˈ ɪ s t ɪ ŋ; persisting
s p ˈ ɛ l m ə n; spellman spelman
b ˈ ɛ v ɪ n; bevin
ˌ ɪ n f ˈ æ l ə b ə l; infallible
w ˈ ɝ m w ˌ ʊ d; wormwood
m ə k ˈ u l; makhoul mccool
d͡ʒ ˈ i m ˌ eɪ l; gmail
m ˈ æ n d ɝ; mander
m ˈ æ d ə s ə n z; madison's
m ˈ æ k l ɪ n; macklin
ˈ ɔ f s t ˈ eɪ d͡ʒ; offstage
k j ˈ u b ɹ ˌ ɪ k s; kubrick's
t ˈ aɪ p ɹ ˌ aɪ t ɝ z; typewriters
ɹ i k ˈ æ p t͡ʃ ɝ ɪ ŋ; recapturing
v ˈ æ k s; vax
k l ˈ ɑ t s; clots klotz
s m ˈ ɛ t; smet
k ˈ ɑ p ɝ f ˌ i l d; copperfield
p ˈ aʊ ɝ p ˌ ɔɪ n t; powerpoint
d ˈ oʊ s ɪ ŋ; dosing
w ˈ ɪ t ɪ ŋ h ˌ æ m; whittingham
b ˈ oʊ æ z; boaz
